Name,Type,Key Points,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Sources
Acinetobacter,Bacteria,Nosocomial pathogen,Introduced by soldiers returning from Afghanistan,Gram negative,Small coccobacilli often in pairs resembling diplococci,Aerobic culture; Non-lactose-fermenting; Oxidase negative,PCN; Antibiotics; NSAID; Steroids,,,,
Actinobacter acinomycetemcomitans,Bacteria,,HACEK organism (culture negative organisms causing fever of unknown origin (FUO) in endocarditis),Gram negative,,,,,,,
Actinomyces,Bacteria,Present in normal human flora; Actinomycosis of cervico-facial region associated with invasive dental surgery and/or poor oral hygiene,Anaerobe; non-spore forming,Gram positive,Long branching filaments (rods that form chains),Anaerobic culture and smear; Sulfur granules in exudates; Non-acid fast in contrast to Nocardia that has similar morphology,"Penicillin (or clindamycin, cephalosporins, tetracyclines, macrolides)",,"Oral/facial abscesses; Abscesses that form sinus tracts to surface, Actinomycosis","""Lumpy jaw""",
Adenovirus,Virus,"Commonly associated with close contact (e.g. military barracks) and swimming pools (particularly with ""pink eye"")","Non-enveloped DNA virus; can be spread via aerosol and fecal-oral contamination; Serotypes 1, 2, 5, 6 endemic in most populations; Serotypes 4 + 7 associated with ARDS",,Icosahedral virus,Serology,Symptomatic (most cases resolve),Proper infection control; Previous live oral vaccine used by military (since discontinued),Gastroenteritis; Conjunctivitis; ARDS in severe cases,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 401-409"
Ascaris lumbricoides,Nematode,Common human parasite worldwide; Affects around one-fourth of population (including parts of Southern US),Giant roundworm (helminth),,,Ova in stool,Mebendazole; albendazole,,Migratory pulmonary infiltrate,Eosinophilia,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 531-533"
Aspergillus fumigatus,Fungus,,"Airborne spores; pulmonary symptoms + neutropenia, acute angle",,Acute angle branching,,Invasive: voriconazole or amphotericin B; Aspergilloma: surgical resection + antifungal; ABPA: corticosteroids + itraconazole,,"Invasive Aspergillosis; Chronic necrotizing aspergillosis; Aspergilloma; Allergic bronchopulmonary aspergillosis, allergic sinusitis","Pulmonary infiltrates, fever; wheeze, cough, hemoptysis, chest pain, sputum production; bronchiectasis",
Bacillus anthracis,Bacteria,"Bioterrorism agent; Zoonotic disease of cattle, goats, wild animals; ""Wool-sorters Disease""",Spore is infective stage; germinates in host and produces toxin; Cutaneous form most common and has mildest symptoms; Inhalational anthrax associated with aerosolization and has high mortality,Gram positive,"Large ""box-car"" shaped rod; Often in chains",Aerobic culture in BSL3; Non-hemolytic; catalase negative; large spreading colonies on blood agar,"Ciprofloaxcin, doxycycline, penicillin; MUST be initiated promptly post-exposure ",Anthrax vaccine for military personnel and researchers,Cutaneous Anthrax; Inhalational Anthrax; GI Anthrax (rare),"Cutaneous: formation of painless black lesion (eschar); Inhalational: hemorrhagic mediastinitis, flu-like symptoms early, later progression to respiratory distress, sepsis, meningitis; GI: abdominal pain/tenderness, bloody stools, ulcers in mouth, esophagus, intestine leading to regional lymphadenopathy, edema, sepsis","Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 564-566"
Bacillus cereus,Bacteria,Pre-formed toxin; Fried rice,Spores in environment contaminate food; produce toxin upon germination; can present as diarrheal or emetic food poisoning,Gram positive,Rod,Suspect food (not patient) can be cultured; Catalase +; Oxidase -; Beta hemolytic,Supportive (most cases are self-limiting),Proper food handling and cooking,Food poisoning,"Emetic form: vomiting, abdominal cramps 2-3 hours post-exposure; Diarrheal form: diarrhea, abdominal cramps 8-24 hours post-exposure","Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 757-758"
Bacteroides fragilis,Bacteria,Normal colonic flora,Aerotolerant anaerobe,Gram negative,Rod,Anaerobic culture; grows in bile-esculin agar,Most produce Beta-lactamase,,Abdominal infections especially abscesses,,
Bartonella bacilliformis,Bacteria,Carrión’s disease; Oroya fever,,,,,,,Carrión’s disease; Oroya fever,,
Bartonella henselae,Bacteria,Cat scratches,Slow-growing organism found in cats,Gram negative,Rod,Serological diagnosis; Can visualize organism by Warthin-Starry stain from tissue; Culture not recommended,Azithromycin,,Cat scratch disease; bacillary angiomatosis (immunocompromised),"Lymphadenopathy, often axillary, fever",
Bartonella quintana,Bacteria,Trench fever,,,,,,,Trench fever; bacillary angiomatosis (immunocompromised),,
Bordetella pertussis,Bacteria,Whooping cough,Produces pertussis toxin,Gram negative,Coccobacillus,"Culture nasopharyngeal swab on special media such as Bordet-Gengou or Regan-Lowe; ""mercury drop"" colonies",Erythromycin; Azithromycin in kids <1 to avoid pyloric stenosis,"Vaccine (DTaP in kids, Tdap in adults); Erythromycin for prophylaxis",Whooping Cough,Catarrhal phase (infectious); Paroxysmal phase (cough),
